,picture_name,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34,cluster_35,cluster_36,cluster_37,cluster_38,cluster_39,cluster_40,cluster_41,cluster_42,cluster_43,cluster_44,cluster_45,cluster_46,cluster_47,cluster_48,cluster_49,cluster_50,cluster_51,cluster_52,cluster_53,cluster_54,cluster_55,cluster_56,cluster_57,cluster_58,cluster_59,cluster_60,cluster_61,cluster_62,cluster_63,cluster_64,cluster_65,cluster_66,cluster_67,cluster_68,cluster_69,cluster_70,cluster_71,cluster_72,cluster_73,cluster_74,cluster_75,cluster_76,cluster_77,cluster_78,cluster_79,cluster_80,cluster_81,cluster_82,cluster_83,cluster_84,cluster_85,cluster_86,cluster_87,cluster_88,cluster_89,cluster_90,cluster_91,cluster_92,cluster_93,cluster_94,cluster_95,cluster_96,cluster_97,cluster_98,cluster_99,material
10,cardboard116.jpg,5.0,1.0,5.0,4.0,4.0,6.0,8.0,7.0,3.0,2.0,2.0,17.0,3.0,6.0,1.0,8.0,3.0,11.0,4.0,18.0,11.0,3.0,3.0,2.0,17.0,3.0,13.0,5.0,5.0,4.0,4.0,9.0,1.0,0.0,10.0,0.0,3.0,4.0,1.0,8.0,0.0,3.0,3.0,10.0,4.0,2.0,2.0,7.0,10.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
11,cardboard117.jpg,1.0,6.0,3.0,7.0,2.0,3.0,8.0,9.0,4.0,1.0,9.0,14.0,5.0,1.0,5.0,2.0,15.0,4.0,6.0,4.0,8.0,1.0,2.0,4.0,6.0,2.0,15.0,8.0,2.0,2.0,5.0,6.0,1.0,1.0,4.0,0.0,4.0,3.0,9.0,6.0,1.0,8.0,8.0,12.0,6.0,4.0,2.0,0.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
12,cardboard118.jpg,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,8.0,5.0,7.0,0.0,7.0,5.0,34.0,0.0,0.0,1.0,0.0,0.0,43.0,0.0,4.0,0.0,1.0,53.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
13,cardboard120.jpg,2.0,1.0,22.0,0.0,2.0,2.0,18.0,3.0,3.0,1.0,3.0,18.0,2.0,0.0,4.0,3.0,1.0,12.0,1.0,36.0,7.0,0.0,0.0,0.0,12.0,2.0,23.0,36.0,1.0,2.0,4.0,5.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,17.0,0.0,8.0,0.0,3.0,3.0,1.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
14,cardboard121.jpg,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
15,cardboard123.jpg,5.0,1.0,5.0,0.0,2.0,1.0,14.0,1.0,1.0,0.0,0.0,31.0,3.0,0.0,3.0,0.0,4.0,6.0,1.0,7.0,5.0,2.0,4.0,1.0,18.0,0.0,8.0,34.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,33.0,1.0,7.0,2.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
16,cardboard124.jpg,0.0,2.0,10.0,3.0,4.0,3.0,0.0,10.0,6.0,12.0,5.0,0.0,6.0,0.0,8.0,3.0,1.0,3.0,0.0,4.0,6.0,5.0,14.0,4.0,3.0,8.0,5.0,9.0,2.0,3.0,0.0,6.0,5.0,18.0,5.0,2.0,5.0,2.0,8.0,1.0,4.0,2.0,12.0,13.0,0.0,4.0,4.0,2.0,8.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
17,cardboard127.jpg,12.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,2.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
18,cardboard128.jpg,15.0,1.0,17.0,7.0,1.0,11.0,10.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,8.0,0.0,2.0,2.0,1.0,13.0,1.0,6.0,14.0,1.0,10.0,3.0,8.0,3.0,3.0,3.0,1.0,2.0,3.0,9.0,3.0,0.0,5.0,4.0,3.0,5.0,6.0,5.0,1.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
19,cardboard129.jpg,5.0,1.0,0.0,0.0,1.0,0.0,14.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,5.0,2.0,7.0,0.0,4.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,6.0,4.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
20,cardboard13.jpg,1.0,2.0,1.0,12.0,1.0,7.0,4.0,3.0,3.0,5.0,5.0,2.0,5.0,2.0,8.0,7.0,10.0,9.0,2.0,6.0,4.0,3.0,9.0,0.0,0.0,8.0,5.0,7.0,3.0,5.0,6.0,13.0,2.0,2.0,11.0,4.0,7.0,9.0,3.0,4.0,6.0,7.0,2.0,3.0,3.0,7.0,7.0,4.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
21,cardboard130.jpg,7.0,1.0,3.0,8.0,10.0,3.0,1.0,1.0,0.0,3.0,2.0,2.0,5.0,3.0,5.0,2.0,3.0,4.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,12.0,0.0,3.0,6.0,12.0,10.0,7.0,2.0,4.0,8.0,0.0,9.0,15.0,2.0,4.0,0.0,6.0,11.0,0.0,14.0,5.0,1.0,5.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
22,cardboard131.jpg,9.0,1.0,0.0,8.0,2.0,3.0,1.0,0.0,1.0,3.0,2.0,6.0,8.0,3.0,2.0,1.0,2.0,14.0,3.0,3.0,3.0,0.0,1.0,5.0,1.0,7.0,4.0,3.0,11.0,9.0,6.0,13.0,0.0,2.0,0.0,0.0,4.0,15.0,3.0,6.0,4.0,9.0,12.0,2.0,14.0,4.0,5.0,9.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
23,cardboard132.jpg,23.0,0.0,3.0,6.0,0.0,2.0,9.0,0.0,1.0,1.0,3.0,7.0,8.0,0.0,5.0,0.0,0.0,12.0,6.0,0.0,1.0,5.0,2.0,1.0,1.0,14.0,5.0,5.0,4.0,7.0,4.0,5.0,4.0,4.0,2.0,0.0,4.0,9.0,1.0,6.0,2.0,10.0,4.0,0.0,1.0,4.0,5.0,3.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
24,cardboard133.jpg,6.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,4.0,5.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,2.0,4.0,3.0,1.0,4.0,0.0,4.0,4.0,2.0,1.0,0.0,3.0,0.0,1.0,7.0,0.0,7.0,0.0,1.0,9.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
25,cardboard134.jpg,13.0,1.0,3.0,1.0,2.0,2.0,14.0,3.0,3.0,1.0,4.0,2.0,8.0,4.0,5.0,3.0,2.0,9.0,4.0,4.0,0.0,1.0,1.0,1.0,1.0,10.0,4.0,4.0,3.0,15.0,4.0,15.0,8.0,4.0,2.0,0.0,2.0,10.0,3.0,4.0,2.0,14.0,2.0,1.0,8.0,5.0,8.0,1.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
26,cardboard136.jpg,10.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,14.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,8.0,4.0,2.0,0.0,1.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
27,cardboard138.jpg,3.0,1.0,2.0,0.0,4.0,0.0,5.0,1.0,0.0,4.0,1.0,2.0,0.0,0.0,5.0,1.0,11.0,3.0,1.0,2.0,2.0,1.0,0.0,2.0,7.0,5.0,1.0,2.0,7.0,2.0,6.0,2.0,5.0,0.0,5.0,1.0,4.0,7.0,4.0,9.0,0.0,11.0,0.0,0.0,4.0,5.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
28,cardboard139.jpg,0.0,0.0,0.0,6.0,8.0,0.0,6.0,0.0,1.0,3.0,1.0,5.0,2.0,3.0,6.0,2.0,8.0,5.0,14.0,4.0,2.0,1.0,0.0,6.0,4.0,4.0,7.0,3.0,5.0,4.0,15.0,15.0,1.0,0.0,14.0,0.0,12.0,9.0,4.0,6.0,0.0,8.0,15.0,1.0,6.0,6.0,1.0,15.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
29,cardboard141.jpg,2.0,0.0,2.0,4.0,6.0,0.0,6.0,5.0,4.0,4.0,3.0,0.0,0.0,2.0,5.0,0.0,2.0,4.0,6.0,3.0,3.0,0.0,0.0,2.0,4.0,9.0,10.0,5.0,8.0,12.0,4.0,18.0,3.0,0.0,2.0,0.0,16.0,6.0,0.0,6.0,0.0,1.0,22.0,1.0,8.0,1.0,5.0,7.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
30,cardboard142.jpg,20.0,0.0,3.0,2.0,7.0,0.0,13.0,2.0,3.0,1.0,4.0,4.0,3.0,3.0,5.0,5.0,3.0,5.0,5.0,1.0,8.0,0.0,4.0,5.0,4.0,10.0,6.0,6.0,1.0,0.0,1.0,3.0,0.0,3.0,7.0,0.0,3.0,6.0,1.0,2.0,1.0,2.0,4.0,2.0,4.0,4.0,1.0,0.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
31,cardboard143.jpg,1.0,0.0,2.0,6.0,2.0,2.0,4.0,0.0,0.0,6.0,0.0,7.0,0.0,5.0,7.0,3.0,8.0,12.0,7.0,5.0,5.0,1.0,1.0,7.0,5.0,10.0,13.0,8.0,7.0,6.0,9.0,8.0,3.0,1.0,6.0,0.0,17.0,5.0,2.0,11.0,1.0,20.0,6.0,1.0,11.0,3.0,7.0,5.0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
32,cardboard144.jpg,29.0,0.0,0.0,4.0,5.0,4.0,16.0,7.0,3.0,3.0,0.0,6.0,0.0,2.0,1.0,8.0,11.0,6.0,12.0,4.0,7.0,3.0,0.0,6.0,9.0,4.0,2.0,8.0,2.0,1.0,8.0,12.0,6.0,2.0,4.0,0.0,6.0,3.0,0.0,5.0,5.0,0.0,1.0,1.0,13.0,1.0,1.0,3.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
33,cardboard145.jpg,6.0,2.0,0.0,0.0,4.0,1.0,10.0,2.0,3.0,1.0,1.0,9.0,1.0,3.0,4.0,0.0,5.0,4.0,14.0,0.0,3.0,0.0,0.0,9.0,6.0,18.0,8.0,1.0,7.0,2.0,0.0,6.0,5.0,0.0,3.0,2.0,3.0,5.0,0.0,10.0,0.0,4.0,5.0,0.0,22.0,2.0,1.0,3.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
34,cardboard146.jpg,6.0,0.0,0.0,1.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,4.0,0.0,5.0,5.0,21.0,6.0,4.0,0.0,0.0,7.0,2.0,8.0,1.0,22.0,0.0,6.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,10.0,1.0,1.0,0.0,3.0,10.0,4.0,5.0,7.0,0.0,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
35,cardboard150.jpg,2.0,2.0,1.0,7.0,3.0,0.0,3.0,13.0,1.0,13.0,1.0,3.0,2.0,0.0,3.0,4.0,5.0,14.0,3.0,4.0,6.0,3.0,0.0,6.0,3.0,9.0,6.0,18.0,7.0,5.0,12.0,13.0,10.0,1.0,4.0,2.0,6.0,8.0,3.0,6.0,1.0,4.0,5.0,2.0,13.0,3.0,1.0,0.0,19.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
36,cardboard151.jpg,9.0,3.0,0.0,3.0,5.0,0.0,1.0,2.0,4.0,10.0,5.0,2.0,2.0,9.0,6.0,6.0,6.0,5.0,11.0,6.0,1.0,2.0,1.0,6.0,8.0,5.0,7.0,6.0,4.0,6.0,4.0,4.0,10.0,5.0,7.0,2.0,4.0,8.0,9.0,8.0,0.0,3.0,3.0,0.0,14.0,10.0,2.0,6.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
37,cardboard152.jpg,23.0,4.0,0.0,3.0,7.0,9.0,8.0,2.0,4.0,2.0,1.0,0.0,3.0,11.0,2.0,3.0,4.0,2.0,0.0,1.0,3.0,2.0,1.0,2.0,1.0,5.0,2.0,8.0,6.0,2.0,1.0,3.0,4.0,3.0,10.0,3.0,4.0,1.0,6.0,0.0,2.0,3.0,9.0,5.0,9.0,4.0,4.0,0.0,8.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
38,cardboard154.jpg,8.0,1.0,2.0,0.0,4.0,0.0,5.0,4.0,0.0,9.0,6.0,3.0,1.0,2.0,3.0,1.0,1.0,6.0,15.0,13.0,1.0,1.0,0.0,11.0,3.0,4.0,2.0,9.0,5.0,7.0,8.0,13.0,5.0,2.0,7.0,4.0,2.0,9.0,8.0,6.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,2.0,7.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
39,cardboard157.jpg,3.0,1.0,1.0,7.0,3.0,3.0,1.0,9.0,1.0,3.0,5.0,6.0,4.0,2.0,9.0,2.0,3.0,11.0,7.0,6.0,1.0,0.0,0.0,6.0,9.0,4.0,8.0,19.0,2.0,9.0,12.0,8.0,2.0,0.0,2.0,0.0,5.0,13.0,0.0,9.0,0.0,14.0,3.0,4.0,11.0,17.0,3.0,5.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cardboard
